FORMACION;MODULO;MC1;R1;R2;MC2
120;45;5089;5645;;5090
120;20;5039;5620;5820;5040
121;64;5127;5664;;5128
121;16;5031;5616;5816;5032
122;44;5087;5644;;5088
122;05;5009;5605;5805;5010
123;59;5117;5659;;5118
123;09;5017;5609;5809;5018
124;50;5099;5650;;5100
124;15;5029;5615;5815;5030
125;56;5111;5656;;5112
125;35;5069;5635;5835;5070
126;85;5169;5685;;5170
126;17;5033;5617;5817;5034
127;78;5155;5678;;5156
127;14;5027;5614;5814;5028
128;81;5161;5681;;5162
128;41;5081;5641;5841;5082
129;62;5123;5662;;5124
129;29;5057;5629;5829;5058
130;61;5121;5661;;5122
130;07;5013;5607;5807;5014
131;69;5137;5669;;5138
131;21;5041;5621;5821;5042
132;70;5139;5670;;5140
132;12;5023;5612;5812;5024
133;58;5115;5658;;5116
133;02;5003;5602;5802;5004
134;52;5103;5652;;5104
134;32;5063;5632;5832;5064
135;46;5091;5646;;5092
135;34;5067;5634;5834;5068
136;43;5085;5643;;5086
136;08;5015;5608;5808;5016
137;79;5157;5679;;5158
137;10;5019;5610;5810;5020
138;63;5125;5663;;5126
138;39;5077;5639;5839;5078
139;51;5101;5651;;5102
139;11;5021;5611;5811;5022
140;72;5143;5672;;5144
140;26;5051;5626;5826;5052
141;53;5105;5653;;5106
141;25;5049;5625;5825;5050
142;75;5149;5675;;5150
142;04;5007;5604;5804;5008
143;65;5129;5665;;5130
143;13;5025;5613;5813;5026
144;60;5119;5660;;5120
144;36;5071;5636;5836;5072
145;76;5151;5676;;5152
145;03;5005;5603;5803;5006
146;80;5159;5680;;5160
146;23;5045;5623;5823;5046
147;82;5163;5682;;5164
147;19;5037;5619;5819;5038
148;74;5147;5674;;5148
148;27;5053;5627;5827;5054
149;68;5135;5668;;5136
149;40;5079;5640;5840;5080
150;57;5113;5657;;5114
150;22;5043;5622;5822;5044
151;83;5165;5683;;5166
151;24;5047;5624;5824;5048
152;71;5141;5671;;5142
152;37;5073;5637;5837;5074
153;49;5097;5649;;5098
153;30;5059;5630;5830;5060
154;86;5171;5686;;5172
154;31;5061;5631;5831;5062
155;48;5095;5648;;5096
155;42;5083;5642;5842;5084
156;84;5167;5684;;5168
156;28;5055;5628;5828;5056
157;55;5109;3009;;5110
157;01;5001;5601;5801;5002
158;54;5107;5654;;5108
158;18;5035;5618;5818;5036
159;73;5145;5673;;5146
159;33;5065;5633;5833;5066
160;66;5131;5666;;5132
160;06;5011;5606;5806;5012
161;77;5153;5677;;5154
161;38;5075;5638;5838;5076
